ID,Swipe_Date,Swipe_time
1,2022-06-20,08:50:45
2,2022-06-20,08:30:45
4,2022-06-20,09:43:45
3,2022-06-20,08:55:45
7,2022-06-20,10:50:45
6,2022-06-20,09:20:45
5,2022-06-20,07:50:45
5,2022-06-20,17:50:45
3,2022-06-20,16:50:45
2,2022-06-20,18:50:45
6,2022-06-20,17:50:45
7,2022-06-20,19:50:45
1,2022-06-20,17:50:45
4,2022-06-20,19:50:45
2,2022-06-21,08:55:45
4,2022-06-21,09:50:45
6,2022-06-21,07:52:45
1,2022-06-21,10:34:45
3,2022-06-21,11:11:45
5,2022-06-21,07:52:45
7,2022-06-21,08:20:45
2,2022-06-21,18:50:45
3,2022-06-21,17:50:45
4,2022-06-21,16:50:45
7,2022-06-21,19:50:45
5,2022-06-21,17:50:45
1,2022-06-21,20:50:45
6,2022-06-21,15:50:45
8,2022-06-22,08:50:45
10,2022-06-22,08:30:45
4,2022-06-22,09:43:45
11,2022-06-22,08:55:45
7,2022-06-22,10:50:45
2,2022-06-22,09:20:45
5,2022-06-22,07:50:45
10,2022-06-22,18:50:45
11,2022-06-22,17:50:45
4,2022-06-22,16:50:45
8,2022-06-22,19:50:45
5,2022-06-22,17:50:45
2,2022-06-22,20:50:45
7,2022-06-22,15:50:45
